location,job_count
Berlin,507
Munich,262
Barcelona,155
Hamburg,134
Stuttgart,101
Budapest,88
Frankfurt am Main,85
Dublin,77
Madrid,71
Cologne,65
Amsterdam,62
Warsaw,46
Reutlingen,44
Dresden,42
Paris,42
Karlsruhe,41
Düsseldorf,38
Braga,37
Stockholm,37
Remote,35
