skill,job_count
Machine Learning,172
Aws,22
Python,21
Azure,13
Sql,6
Power Bi,5
Java,5
Docker,5
Deep Learning,4
Spark,4
Databricks,4
Snowflake,4
Gcp,4
Llm,4
Computer Vision,3
Generative Ai,3
Go,3
Dbt,3
Nlp,3
Scala,2
