company,job_count
Bosch Group,887
Delivery Hero,424
Databricks,157
BMW AG,118
Celonis,110
Siemens Energy Global GmbH & Co. KG,95
Deloitte GmbH,93
BWI GmbH,92
Stripe,92
Mercedes-Benz Group AG,68
FRISTO SE,60
Aircall,57
CHECK24 Services Personal GmbH,53
Asana,47
Deutsche Telekom AG,47
AUMOVIO SE Haupverwaltung,46
Siemens AG,44
Palantir,44
Akkodis Germany Tech Experts GmbH,44
MY Humancapital GmbH,43
