region,job_count
Germany,7741
Belgium,1106
Austria,785
Italy,446
Sweden,348
Slovenia,300
France,296
United Kingdom,280
Norway,225
Spain,172
Hungary,151
Poland,102
Other,84
Ireland,80
Portugal,79
Romania,74
Netherlands,68
Switzerland,56
Unspecified,55
Turkey,40
Greece,32
Denmark,31
Serbia,31
Bulgaria,26
Czechia,22
Ukraine,15
Estonia,11
Luxembourg,10
Belarus,9
Finland,8
Malta,8
Croatia,8
Cyprus,6
Lithuania,4
Bosnia and Herzegovina,3
Slovakia,3
Iceland,1
