skill,job_count
Databricks,232
Machine Learning,121
Java,116
Azure,114
Go,69
Kubernetes,64
Python,42
Aws,40
Generative Ai,24
Power Bi,24
React,23
Llm,19
Sql,18
Openai,16
Rag,14
Typescript,13
Deep Learning,13
Snowflake,12
Excel,12
Computer Vision,11
