job_id,title,company,location,zip_code,state,source,ats,department,is_remote,job_url,job_types,tags,salary,published_at,start_date_raw,modified_at,ingested_at,is_english,work_style,language_requirement,region,date_added,date_expired
sem_deutsche-bank_identity-access-management-technology-management-senior-analyst-f-m-x_frankfurt-am-main,Identity & Access Management – Technology Management Senior Analyst (f/m/x),Deutsche Bank AG,Frankfurt am Main,60486.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206126709-S,,,,,2026-04-09,2026-04-09T21:20:11.036,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_deutscher-hilfsbund-e-v_chief-communication-officer-cco-100-ehrenamt_berlin,Chief Communication Officer (CCO)(m/w/d) | 100% Ehrenamt,Deutscher Hilfsbund e.V.,Berlin,,,arbeitnow,,,True,https://www.arbeitnow.com/jobs/companies/deutscher-hilfsbund-ev/chief-communication-officer-cco-100-ehrenamt-berlin-91990,geschäftsleitung,"Remote,Strategic Marketing",,,,,2026-07-06T07:00:07.313495+00:00,False,remote,german_required,Germany,2026-07-06,2026-07-06
sem_develocity_senior-product-manager_germany,Senior Product Manager,Develocity,Germany,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/develocity/senior-product-manager-germany-334625,,AI / ML,,,,,2026-07-06T07:00:07.313495+00:00,True,hybrid,english_only,Germany,2026-07-06,2026-07-06
sem_dh-personal-branding-agency_social-media-personal-brand-manager-in_stuttgart,Social Media & Personal Brand Manager:in (w/m/d),DH Personal Branding Agency GmbH,Stuttgart,,,arbeitnow,,,True,https://www.arbeitnow.com/jobs/companies/dh-personal-branding-agency-gmbh/social-media-personal-brand-managerin-stuttgart-205561,berufserfahren,"Junior / Entry Level,Remote,Social Media Manager",,,,,2026-07-06T07:00:07.313495+00:00,True,remote,german_required,Germany,2026-07-06,2026-07-06
sem_diebel-speditions_controller-data-analyst_kassel-hessen,Controller / Data Analyst (m/w/d),Diebel Speditions GmbH,"Kassel, Hessen",34123.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003229751-S,,Analytics / BI,,,2026-06-15,2026-06-15T17:55:00.768,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_digitalbakery_google-ads-specialist_stockelsdorf,Google Ads Specialist (m/w/d),digitalbakery GmbH,Stockelsdorf,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/digitalbakery-gmbh/google-ads-specialist-stockelsdorf-434811,,"Analytics / BI,Online Marketing",,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,bilingual,Other,2026-07-06,2026-07-06
sem_digitalwerk-the-accelerate-company_podcast-producer-projektmanager-d-m-w_berlin,Podcast Producer & Projektmanager  (d/m/w),DIGITALWERK (The Accelerate Company GmbH),Berlin,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/digitalwerk-the-accelerate-company-gmbh/podcast-producer-projektmanager-berlin-6091,,Product Management,,,,,2026-07-06T07:00:07.313495+00:00,False,hybrid,german_required,Germany,2026-07-06,2026-07-06
sem_distart-education_ai-fullstack-architect_leipzig,(Senior) AI Fullstack Architect (m/w/d),Distart Education GmbH,Leipzig,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/distart-education-gmbh/senior-ai-fullstack-architect-leipzig-132361,"Full-time permanent,mid","Cloud / DevOps,Education and training,associate's degree",,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,bilingual,Germany,2026-07-06,2026-07-06
sem_distart-education_ai-fullstack-developer_leipzig,(Senior) AI Fullstack Developer (m/w/d),Distart Education GmbH,Leipzig,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/distart-education-gmbh/senior-ai-fullstack-developer-leipzig-114868,"Full-time permanent,mid","Cloud / DevOps,Education and training,associate's degree",,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,bilingual,Germany,2026-07-06,2026-07-06
sem_distart-education_cloud-software-architect-developer_leipzig,Cloud Software Architect & Developer (m/w/d),Distart Education GmbH,Leipzig,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/distart-education-gmbh/cloud-software-architect-developer-leipzig-53481,"Full-time permanent,mid","Cloud / DevOps,Education and training,associate's degree",,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,bilingual,Germany,2026-07-06,2026-07-06
